Video URL	Nickname	User URL	Date	Text	Email from comment	Upvotes	Replies
https://www.youtube.com/watch?v=CXYGOpcNNSQ	G̷a̷c̷h̷a̷ ̷ ̷Y̷a̷g̷m̷u̷r̷	http://www.youtube.com/channel/UCpVpaHQepzA6N3LJ3LW0JAQ	2021-11-12T17:54:07Z	I really missed Amber, finally she showed up! ^^		3821	23
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Napat Sahapat	http://www.youtube.com/channel/UClU6t2r_3P_pp1N4PKQZEPg	2021-11-16T04:24:27Z	"Amber: “Do you want to build a snowman?”
Albedo: “Let it go.. The cold never bothered me anyway.”"		1966	4
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Sora Is My Name	http://www.youtube.com/channel/UCSX4ci9C_6F1iiORhrPtjEw	2021-11-15T11:47:44Z	"""Dragonspine has become more dangerous than it used to be""
Player: *Remembering his dragonspine traumatic events
Player: Oh hell nah"		3163	12
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Emil Clone #154,760	http://www.youtube.com/channel/UCyNKebz6HIDfdGV5YUmVR5Q	2021-11-15T01:23:56Z	"Amber: ""Let's combine our forces and make ourselves a huge snowman!""

Kokomi to Gorou: ""Write that down WRITE THAT DOWN!"""		2239	4
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Taylor Lindsey	http://www.youtube.com/channel/UCQe5kDRX0yo2Za9yyi94EEw	2021-11-15T03:17:04Z	Albedo is the Mariah Carey of Genshin, when winter arrives he does		475	3
https://www.youtube.com/watch?v=CXYGOpcNNSQ	qiqivx	http://www.youtube.com/channel/UCPPGXShzAwf1W5rp_CRcGkQ	2021-11-12T19:26:34Z	"Dragonspine: *freezing cold*
Amber & Eula: What a wonderful weather to wear shorts"		4776	25
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Venti	http://www.youtube.com/channel/UCty6Iy8f8bJ03tKQmdmcIgg	2021-11-14T16:05:13Z	"Someone pointed out something very interesting about “Albedo” in the trailer. If you pay attention, the ice attacks and symbols are all that of cryo whopperflowers, and we know that they can disguise themselves as things like plants or organic matter. And because it’s speculated that Albedo was created and not born, there’s a possibility that one of the regisvines traps the real Albedo in an avalanche, takes over his form or copies it, and then attacks us. *Why?* 
No idea.
But it’s an interesting theory, because I highly doubt we’re fighting the real Albedo."		783	20
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Tempolaris	http://www.youtube.com/channel/UCoURlz-jHUtFmPghMW7r4AQ	2021-11-26T00:38:16Z	They did a good job hiding the fact that ""Albedo"" doesn't have his yellow star on his neck. What I noticed too doing the first quest.		123	1
https://www.youtube.com/watch?v=CXYGOpcNNSQ	⭕️ CLAIM FREE PRIMOGEMS CHECK MY CHANNEL ⭕️	http://www.youtube.com/channel/UCVnKluGQRFodaH4BiAkXQOQ	2021-11-24T19:41:38Z	"I hope there will be a festival event soon in Inazuma where we see all characters like in windblume and the gouba one
Then i hope we get a region collides quest where characters from different regions would work with each other(highest hope is somehow, the archons meet"		113	1
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Egg Dog	http://www.youtube.com/channel/UC88wbfKqcy2E2o6WXKH0lpg	2021-11-15T08:53:34Z	"Me: Ignoring all the quests in dragonspine already
Mihoyo: Dragonspine is more dangerous than ever!"		220	3
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Issei Ddraig21	http://www.youtube.com/channel/UCkQwalebYCZAzsq8pC1qCPw	2021-11-12T15:52:50Z	"""Dragonspine is more dangerous than ever""
The Viewers: ""Always has been..."""		8844	17
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Someone	http://www.youtube.com/channel/UCzsG0jo8fejoQ5IqUKQadLQ	2021-11-26T07:38:55Z	I love the fact that they didn’t show Albedo’s neck during that scene		69	2
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Demon Eon	http://www.youtube.com/channel/UCBNtIusqYDsWV6iAGYMgXxg	2021-11-17T16:33:04Z	Eula’s date with Amber gets interrupted. We must seek revenge.		380	3
https://www.youtube.com/watch?v=CXYGOpcNNSQ	SimpLord	http://www.youtube.com/channel/UCHdWROsj7kpDkSqNKfqbDZQ	2021-11-23T22:03:54Z	"Me: Dies 10 times trying to get the statue of the seven in dragonspine 
The devs: Make dragonspine more dangerous"		88	2
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Phantom	http://www.youtube.com/channel/UCG06sZGSGvj3tlR7iohBnDA	2021-11-18T04:41:09Z	"albedo: attacks

genshin players: oh well we all knew this would happen

bennet: appears 

genshin players: this never happened before its the first time in history"		273	0
https://www.youtube.com/watch?v=CXYGOpcNNSQ	CrownieShorts	http://www.youtube.com/channel/UCI2D9OgPUk9wDlm-oPpUNaA	2021-11-12T14:14:57Z	Bennett so unlucky, even his friends turn evil 😭😭😭		26464	84
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Yume-chan	http://www.youtube.com/channel/UC5N3Cgg1Obw7M2B9bETjVjA	2021-11-19T05:21:58Z	"Whopperflower: * shapeshifts into Albedo and attacks the others *
Albedo: *THE F-CKING AUDACITY*"		174	2
https://www.youtube.com/watch?v=CXYGOpcNNSQ	XiCallie	http://www.youtube.com/channel/UCnL1M0OX8w-WiHkycHJ854g	2021-11-24T10:58:53Z	"Albedo this update: The snow glows white
On the mountain tonight
Not a footprint to be seen
A kingdom of isolation
And it looks like I’m the Queen

The wind is howling
Like this swirling storm inside
Couldn’t keep it in
Heaven knows I tried…

Don’t let them in
Don’t let them see
Be the good girl you always have to be
Conceal
Don’t feel
Don’t let them know…
Well, now they know!

Let it go, let it go
Can’t hold it back anymore
Let it go, let it go
Turn away and slam the door!
I don’t care what they’re going to say
Let the storm rage on
The cold never bothered me anyway

It’s funny how some distance
Makes everything seem small
And the fears that once controlled me
Can’t get to me at all!

It’s time to see
What I can do
To test the limits and break through
No right, no wrong
No rules for me
I’m free!

Let it go! Let it go!
I am one with the wind and sky!
Let it go! Let it go!
You’ll never see me cry!
Here I stand and here I’ll stay
Let the storm rage on…

My power flurries through the air into the ground
My soul is spiraling in frozen fractals all around
And one thought crystallizes like an icy blast
I’m never going back
The past is in the past!

Let it go! Let it go!
And I’ll rise like the break of dawn!
Let it go! Let it go!
That perfect girl is gone!

Here I stand in the light of day…
Let the storm rage on!!!
The cold never bothered me anyway"		21	2
https://www.youtube.com/watch?v=CXYGOpcNNSQ	awyshaaa	http://www.youtube.com/channel/UCG7K_797-KQ5eETyHqDTD1w	2021-11-23T17:22:01Z	I’m so happy for Bennett because he finally got an adventure team		24	0
https://www.youtube.com/watch?v=CXYGOpcNNSQ	OccasionallyHappy	http://www.youtube.com/channel/UCefm52mgnPha6QLdJkaHlLA	2021-11-25T07:16:35Z	Amber wiping off sweat when she's atop a snowy mountain is so Amber		54	2
https://www.youtube.com/watch?v=CXYGOpcNNSQ	S.S. Name	http://www.youtube.com/channel/UC8fU_wVG73A6_sKkuN3dM-Q	2021-11-12T16:17:38Z	"“Dragonspine is more dangerous than ever”
*Fighting Albedo?*
“I am the danger”"		7588	8
https://www.youtube.com/watch?v=CXYGOpcNNSQ	OliJoinTheGame	http://www.youtube.com/channel/UCwV0dYI4Yzx9UexjCre5pxQ	2021-11-25T20:55:00Z	"(Spoilers for in game event)








It’s interesting how the imposters eyes are brighter and more blue than the original Albedo who’s eyes are more dull and teal"		21	3
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Jude	http://www.youtube.com/channel/UC2b15tdHEsfwVpdB9xYP-rA	2021-12-01T11:24:36Z	"For everyone who were saying Albedo was going to backstab someone:

*Yes, it was himself*"		2	0
https://www.youtube.com/watch?v=CXYGOpcNNSQ	VampireFlower1	http://www.youtube.com/channel/UCLwgYl7t87LuwwPX7NHgHAQ	2021-11-19T15:53:20Z	"Anyone that remembers Albedo saying: *If one day, I lose control... Destroy Mondstadt... Destroy everything. Can I rely on you to stop me?* at the end of his story quest?
It now makes sense."		48	3
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Hollypuff.	http://www.youtube.com/channel/UCrKFYSaCmEK8X-CslusOQJw	2021-11-17T00:25:29Z	"Me after 100%ting dragonspine: im never going back there again

2.3 drops: well, damn"		96	0
https://www.youtube.com/watch?v=CXYGOpcNNSQ	Danny Phamtom	http://www.youtube.com/channel/UC72MmkgFLMcqL0Q2-_TLbBQ	2021-11-12T20:07:17Z	"Eula: ""Albedo, what the devil do you think you were doing?""
Albedo: peace was never an option"		7817	20
